Time_ms,Cycle,Ax,Ay,Az,Force_kg
5050,14,311,6,12834,50.06
5100,14,208,-206,15091,49.74
5150,14,20,-33,4820,49.85
5200,14,68,-86,-9182,50.0
5250,15,158,90,-15864,49.5
5300,15,-17,-63,-9404,49.69
5350,15,247,10,4604,49.99
5400,15,-95,-58,15675,50.44
5450,15,-519,-6,13340,49.99
5500,15,-606,-193,-516,49.4
5550,15,-68,-171,-13125,50.41
5600,16,395,-154,-15446,50.23
5650,16,7,87,-4922,49.68
5700,16,-168,-112,9168,50.03
5750,16,-35,31,16086,50.27
5800,16,54,97,9383,49.77
5850,16,-313,13,-5017,49.94
5900,16,-570,49,-15157,49.75
5950,17,317,-188,-13107,49.45
6000,17,-299,79,14,49.95
6050,17,-434,25,12558,50.58
6100,17,38,14,15148,49.46
6150,17,-233,74,4966,49.89
6200,17,-153,-44,-9342,49.78
6250,17,-304,24,-16043,49.91
6300,18,219,28,-9362,50.55
6350,18,63,31,5008,50.35
6400,18,7,-243,15032,50.01
6450,18,370,-39,13035,49.98
6500,18,-307,-196,0,50.35
6550,18,190,-75,-13226,49.59
6600,18,313,51,-15212,50.21
6650,19,-159,-217,-5002,49.72
6700,19,-1,-104,9648,50.25
6750,19,53,-40,15542,50.42
6800,19,291,-81,9689,49.75
6850,19,-153,-185,-5025,49.95
6900,19,239,-164,-15022,50.53
6950,19,56,-145,-12557,50.81
7000,20,-273,-58,83,49.63
7050,20,601,101,12652,50.42
7100,20,-85,-158,14945,49.48
7150,20,-68,125,4431,49.87
7200,20,-446,8,-9466,49.53
7250,20,62,-92,-15624,49.89
7300,20,-401,-24,-9513,50.2
7350,21,112,-106,4981,49.91
7400,21,-332,118,15576,50.15
7450,21,728,-39,12801,49.88
7500,21,-504,-42,163,50.53
7550,21,-531,-44,-13222,49.77
7600,21,-91,-134,-15150,50.21
7650,21,-309,-75,-5059,49.58
7700,22,-69,-131,9232,49.97
7750,22,53,-7,16114,49.98
7800,22,83,9,9336,49.32
7850,22,361,-72,-4916,49.34
7900,22,74,12,-15139,49.94
7950,22,-234,-72,-12924,50.01
8000,22,-50,-104,-40,50.48
8050,23,273,-148,12784,50.29
8100,23,39,-25,15271,49.55
8150,23,132,-145,4866,50.4
8200,23,160,-36,-9286,50.48
8250,23,150,-56,-16079,49.66
8300,23,54,-124,-9684,50.03
8350,23,-556,14,4917,49.54
8400,24,-298,-149,15219,50.32
8450,24,54,11,12471,49.92
8500,24,54,-19,-98,49.85
8550,24,-206,-101,-12952,50.41
8600,24,-96,-160,-14919,50.05
8650,24,98,-191,-5368,49.63
8700,24,-335,1,9017,49.48
8750,25,53,-89,15664,49.45
8800,25,-2,-184,9561,50.15
8850,25,-174,-198,-4848,49.93
8900,25,-122,-53,-15314,50.42
8950,25,-99,13,-12903,50.39
9000,25,201,-167,277,50.83
9050,25,-111,-124,12716,51.47
9100,26,-428,-28,15315,50.62
9150,26,-366,-127,4885,50.19
9200,26,-155,18,-9409,49.8
9250,26,-221,79,-16361,49.59
9300,26,147,-171,-8945,49.74
9350,26,-353,182,4997,49.64
9400,26,438,-65,15368,49.58
9450,27,108,32,12902,49.57
9500,27,12,-122,-280,50.0
9550,27,-429,3,-13096,49.1
9600,27,-171,-101,-14860,50.75
9650,27,-125,-69,-4737,50.25
9700,27,-145,-43,9392,50.86
9750,27,-74,-171,15812,50.2
9800,28,222,-64,9789,49.86
9850,28,315,-111,-5011,49.6
9900,28,-87,119,-15507,50.55
9950,28,-555,-64,-12720,49.17
10000,28,-946,-246,164,49.9
10050,28,-267,-77,12965,49.74
10100,28,-254,-30,15152,49.5
10150,29,-196,-86,5236,50.2
10200,29,-15,-211,-9473,49.99
10250,29,-287,-213,-16200,50.12
10300,29,344,-27,-9442,50.43
10350,29,227,-131,4732,49.29
10400,29,-53,-156,15197,49.53
10450,29,-776,-4,12862,49.84
10500,30,-345,-212,260,49.65
10550,30,-190,4,-13275,50.44
10600,30,56,-74,-15564,49.84
10650,30,910,-219,-4832,50.48
10700,30,346,27,9201,49.96
10750,30,-223,-257,15862,50.27
10800,30,-78,38,9516,50.65
10850,31,-487,-126,-4754,50.27
10900,31,287,-155,-15163,50.05
10950,31,207,32,-12518,50.02
11000,31,541,-44,153,49.96
11050,31,177,35,12784,50.46
11100,31,-202,-135,15454,49.67
11150,31,92,38,5336,49.97
11200,32,-352,-112,-9400,49.68
11250,32,435,-75,-16026,50.3
11300,32,-194,-206,-9160,49.89
11350,32,-649,-50,5033,50.49
11400,32,-218,-113,15584,49.81
11450,32,-210,-198,12749,49.6
11500,32,-449,-210,-321,49.55
11550,33,-367,-7,-13096,49.76
11600,33,-139,104,-15321,49.95
11650,33,-775,-120,-4855,50.06
11700,33,111,-122,9330,49.1
11750,33,172,-210,15815,50.17
11800,33,160,-67,9500,49.86
11850,33,-135,-330,-5033,50.74
11900,34,-352,77,-15309,50.67
11950,34,-430,-13,-12938,50.46
12000,34,313,-268,-234,49.72
12050,34,615,-22,13052,50.19
12100,34,19,-19,15069,49.14
12150,34,-98,41,4558,50.36
12200,34,-117,54,-9044,50.58
12250,35,217,27,-15781,50.65
12300,35,294,-89,-9706,49.65
12350,35,-117,-31,4834,49.95
12400,35,73,-62,15250,49.56
12450,35,561,-115,13118,49.67
12500,35,-795,-131,177,50.46
12550,35,56,-7,-12805,49.71
12600,36,-223,-177,-15416,50.22
12650,36,51,-127,-4974,49.9
12700,36,463,16,9600,50.33
12750,36,182,-120,16155,50.04
12800,36,593,-51,9760,50.48
12850,36,0,6,-4867,50.09
12900,36,527,-38,-15276,49.91
12950,37,45,-25,-12785,49.99
13000,37,-9,-168,-244,49.94
13050,37,275,19,12725,50.05
13100,37,124,-251,15217,50.07
13150,37,103,-62,4921,49.52
13200,37,-136,-161,-9390,49.56
13250,37,358,11,-16064,50.09
13300,38,-253,-148,-9353,50.26
13350,38,-323,-75,5527,49.37
13400,38,-175,-241,15182,49.82
13450,38,-38,-123,12684,49.56
13500,38,-174,38,43,49.69
13550,38,-397,10,-12917,49.81
13600,38,99,-72,-15156,49.8
13650,39,403,38,-5028,50.05
13700,39,-329,-121,9182,50.15
13750,39,-268,62,16112,49.86
13800,39,-142,-313,9015,49.96
13850,39,-183,-87,-5061,49.66
13900,39,450,66,-15357,49.8
13950,39,-486,-136,-12712,49.5
14000,40,172,-180,-447,50.57
14050,40,509,-136,12927,49.9
14100,40,-75,-137,15364,49.93
14150,40,265,-149,4970,49.94
14200,40,-50,-73,-9354,49.78
14250,40,-239,-10,-16163,49.95
14300,40,65,-182,-9185,49.52
14350,41,228,60,4985,50.07
14400,41,-181,-153,15098,49.81
14450,41,4,-104,13020,49.66
14500,41,-150,-159,69,49.66
14550,41,-321,27,-13017,49.9
14600,41,39,-2,-15232,50.3
14650,41,496,-46,-4773,49.95
14700,42,-101,-167,9593,50.13
14750,42,536,32,15711,50.32
14800,42,525,-149,9429,50.03
14850,42,-78,-155,-5071,49.49
14900,42,-244,105,-15213,50.02
14950,42,112,-75,-13220,49.4
15000,42,-310,-119,-123,50.12
15050,43,-143,21,13069,49.68
15100,43,270,23,15449,50.19
15150,43,-78,-238,4848,50.26
15200,43,120,-2,-9554,50.07
15250,43,-104,-106,-16228,49.42
15300,43,14,-223,-9650,50.02
15350,43,-391,-110,5095,49.09
15400,44,-119,-96,14959,49.39
15450,44,-78,20,13055,50.35
15500,44,-121,46,82,50.4
15550,44,531,37,-12833,50.66
15600,44,-334,-59,-15459,50.29
15650,44,260,-121,-5071,49.29
15700,44,-148,47,9149,50.17
15750,45,511,74,16084,50.04
15800,45,-184,-56,9683,49.6
15850,45,-338,-9,-4737,49.96
15900,45,-63,45,-15080,50.16
15950,45,105,-195,-12736,49.67
16000,45,-106,-128,35,50.12
16050,45,507,-167,12677,49.86
16100,46,175,17,15471,49.69
16150,46,-313,29,4890,50.56
16200,46,-379,68,-9485,50.27
16250,46,233,-199,-16302,50.18
16300,46,-191,-138,-9645,49.76
16350,46,88,7,5097,49.71
16400,46,23,-1,15168,50.39
16450,47,414,46,13146,50.64
16500,47,264,-33,-356,50.38
16550,47,-127,-13,-13072,49.97
16600,47,65,-111,-15543,50.29
16650,47,-98,-120,-4874,49.57
16700,47,-3,-164,9477,49.64
16750,47,121,-159,15991,49.62
16800,48,818,-149,9256,50.15
16850,48,-270,27,-4914,49.64
16900,48,51,-106,-15321,50.67
16950,48,268,-145,-12681,49.95
17000,48,145,-120,232,50.57
17050,48,140,-86,12808,49.98
17100,48,57,52,15429,49.06
17150,49,334,-16,4990,49.9
17200,49,-50,-38,-8778,50.07
17250,49,-312,-198,-16190,50.64
17300,49,222,-190,-9296,50.16
17350,49,-29,-51,5192,50.35
17400,49,192,-163,15318,50.22
17450,49,189,-1,12725,49.88
17500,50,-466,30,59,49.91
17550,50,334,-130,-12942,49.76
17600,50,8,0,-15220,50.43
17650,50,18,48,-4834,49.45
17700,50,110,-60,9349,49.86
17750,50,380,-64,15991,49.48
17800,50,-556,-267,9565,49.6
17850,51,66,-144,-4917,49.95
17900,51,65,-216,-15525,49.89
17950,51,-526,-107,-12916,49.89
18000,51,-451,-21,309,50.26
18050,51,478,11,12699,49.45
18100,51,192,-36,15289,49.63
18150,51,-897,-84,5074,50.85
18200,52,4,-120,-9463,49.65
18250,52,179,-122,-15758,49.51
18300,52,380,-160,-9287,50.22
18350,52,346,-74,4832,50.26
18400,52,-535,-76,15253,49.04
18450,52,-446,-166,12889,49.92
18500,52,386,15,-49,49.61
18550,53,-410,13,-12714,49.76
18600,53,191,-122,-15199,49.88
18650,53,723,-85,-4955,50.27
18700,53,-352,81,9552,50.45
18750,53,255,51,15585,49.52
18800,53,475,16,9370,49.97
18850,53,-372,-110,-4807,49.68
18900,54,-353,67,-15687,49.53
18950,54,-348,31,-13080,49.51
19000,54,-31,-172,98,49.95
19050,54,-17,22,13137,49.56
19100,54,-148,162,15469,48.68
19150,54,198,-142,4959,49.74
19200,54,386,24,-9552,50.29
19250,55,-63,-25,-16177,50.14
19300,55,281,-181,-9534,49.13
19350,55,96,-169,4828,50.46
19400,55,340,80,15340,50.14
19450,55,-367,77,13012,50.45
19500,55,221,-10,-87,49.42
19550,55,-507,-82,-12971,50.58
19600,56,423,-79,-15318,50.01
19650,56,-344,114,-4861,49.37
19700,56,323,181,9143,50.05
19750,56,145,-37,16213,49.14
19800,56,-207,86,9522,50.08
19850,56,458,-173,-4562,49.4
19900,56,-147,-71,-14964,49.94
19950,57,-182,-55,-12737,49.78
20000,57,-259,-189,-41,50.16
20050,57,-516,-127,12735,49.34
20100,57,-247,-156,15259,50.06
20150,57,-370,16,4677,49.55
20200,57,-185,187,-9421,49.38
20250,57,-100,-132,-15995,49.22
20300,58,-320,-12,-9393,50.07
20350,58,-182,92,5216,50.1
20400,58,156,-63,14854,49.86
20450,58,-141,46,13158,49.59
20500,58,203,-7,150,49.91
20550,58,6,145,-12788,49.53
20600,58,-229,-95,-15099,50.13
20650,59,-351,-65,-5189,49.98
20700,59,335,-95,9465,49.91
20750,59,-58,-29,16006,50.21
20800,59,-191,-147,9438,49.11
20850,59,-563,32,-5043,49.19
20900,59,-202,20,-15586,49.84
20950,59,-110,-67,-13029,49.7
21000,60,-167,240,-9,49.26
21050,60,296,-70,12881,49.85
21100,60,466,-117,15075,50.04
21150,60,-91,-55,5181,50.09
21200,60,-327,-36,-9289,50.17
21250,60,-194,66,-16184,49.56
21300,60,-16,-139,-8904,50.58
21350,61,-461,-86,5276,49.55
21400,61,-304,55,15601,49.71
21450,61,139,-208,12940,50.46
21500,61,-773,-13,-43,49.9
21550,61,-423,-129,-13312,50.08
21600,61,-287,-155,-15312,49.73
21650,61,-32,-77,-5050,50.06
21700,62,258,-44,9395,50.12
21750,62,-438,37,16286,50.29
21800,62,-9,-90,9231,50.65
21850,62,-200,76,-4851,50.11
21900,62,307,140,-15279,49.59
21950,62,66,-213,-12817,49.73
22000,62,-150,-96,-240,49.56
22050,63,126,210,13229,49.95
22100,63,124,95,15410,49.84
22150,63,488,-127,5124,49.79
22200,63,-130,-142,-9325,49.91
22250,63,520,-105,-16083,50.67
22300,63,-61,-144,-9267,49.85
22350,63,-199,-46,5010,49.65
22400,64,-54,-106,15141,49.03
22450,64,21,93,12798,49.54
22500,64,293,-21,-55,49.38
22550,64,3,-65,-13065,49.9
22600,64,-584,74,-15396,49.06
22650,64,241,189,-5113,50.26
22700,64,108,-78,9686,49.69
22750,65,-118,-286,15927,49.49
22800,65,137,-96,9362,50.15
22850,65,-279,15,-5287,51.13
22900,65,548,-146,-15452,50.88
22950,65,668,123,-12960,50.45
23000,65,-337,-86,587,49.68
23050,65,-192,-41,12828,50.66
23100,66,-223,-35,15331,50.11
23150,66,98,-180,5257,50.19
23200,66,395,-222,-9551,49.95
23250,66,381,22,-16252,50.16
23300,66,-101,12,-9326,50.02
23350,66,17,-303,5102,49.91
23400,66,435,-44,15557,49.73
23450,67,189,2,12909,49.88
23500,67,369,-150,132,49.54
23550,67,216,-97,-12883,49.86
23600,67,115,-12,-15347,49.72
23650,67,-326,8,-5229,49.92
23700,67,-108,-115,9473,49.44
23750,67,86,-84,16375,49.94
23800,68,341,5,9530,49.34
23850,68,-390,-59,-4861,50.4
23900,68,-147,-61,-15111,50.14
23950,68,301,9,-12722,50.08
24000,68,-330,-64,-205,50.09
24050,68,168,-205,13056,50.35
24100,68,-10,-186,15479,49.35
24150,69,885,70,5008,50.28
24200,69,69,-65,-9458,50.07
24250,69,82,-330,-15855,49.36
24300,69,294,-59,-9594,49.68
24350,69,-322,51,4638,50.53
24400,69,-158,-130,15044,49.67
24450,69,-476,-84,13201,50.15
24500,70,249,-43,16,49.94
24550,70,-547,-92,-13200,49.7
24600,70,-113,177,-15071,49.94
24650,70,114,-152,-5053,49.9
24700,70,202,-48,9016,50.01
24750,70,-382,-144,16072,50.01
24800,70,-179,-12,9528,50.56
24850,71,333,-13,-4566,50.09
24900,71,-30,-142,-14900,49.75
24950,71,-109,21,-13150,49.44
25000,71,45,28,230,50.29
25050,71,480,-206,13160,50.83
25100,71,-803,-47,15106,49.63
25150,71,58,-140,4850,50.49
25200,72,-358,62,-9372,49.73
25250,72,-147,93,-15978,49.16
25300,72,-726,-155,-9846,50.23
25350,72,9,12,4919,49.73
25400,72,75,-91,14897,49.38
25450,72,-51,93,12850,49.89
25500,72,192,101,-245,49.28
25550,73,-600,-28,-13231,49.84
25600,73,702,-32,-14822,49.43
25650,73,342,-55,-4981,50.12
25700,73,187,158,9702,49.95
25750,73,-271,29,15932,49.27
25800,73,-350,-64,9550,49.73
25850,73,-563,-18,-4630,50.84
25900,74,-330,11,-15357,50.26
25950,74,-47,178,-12869,49.97
26000,74,154,18,-99,49.56
26050,74,-437,-54,13239,49.37
26100,74,339,-289,15117,49.8
26150,74,262,100,4777,49.63
26200,74,-667,-38,-9151,50.24
26250,75,73,-45,-16119,49.37
26300,75,-250,-203,-9826,50.48
26350,75,54,100,5159,49.27
26400,75,-290,44,15272,50.4
26450,75,-345,-42,12740,49.65
26500,75,367,-45,10,50.43
26550,75,546,-35,-12436,49.75
26600,76,120,-80,-15581,49.59
26650,76,130,59,-4893,50.11
26700,76,-231,3,9286,50.05
26750,76,214,-59,16188,49.49
26800,76,-337,-217,9075,49.61
26850,76,-276,32,-5046,49.93
26900,76,167,48,-15250,49.97
26950,77,-542,-134,-12839,49.28
27000,77,199,-36,138,50.33
27050,77,-91,-50,12673,50.49
27100,77,311,-131,15465,50.74
27150,77,-301,179,5052,50.82
27200,77,-70,-153,-9605,49.35
27250,77,34,134,-15990,50.13
27300,78,-247,91,-9158,49.27
27350,78,-57,-171,5418,50.68
27400,78,-528,18,15250,50.05
27450,78,289,-83,13270,49.55
27500,78,-137,254,-48,49.94
27550,78,297,-93,-12970,49.55
27600,78,357,16,-15526,49.67
27650,79,151,-26,-5260,50.11
27700,79,-17,-142,9156,49.79
27750,79,-101,33,16059,49.95
27800,79,125,45,9537,49.89
27850,79,276,-39,-5027,49.53
27900,79,-133,33,-15112,50.37
27950,79,556,54,-12791,49.82
28000,80,-164,-81,-310,50.84
28050,80,-110,55,13057,49.76
28100,80,-303,0,15344,50.31
28150,80,9,85,5029,50.19
28200,80,200,-1,-9505,49.7
28250,80,-394,-178,-16104,50.26
28300,80,237,-236,-9274,49.75
28350,81,-312,164,4941,50.13
28400,81,770,-113,15427,50.02
28450,81,-392,-47,13280,49.76
28500,81,121,-146,194,49.94
28550,81,-315,-123,-12814,50.31
28600,81,319,-87,-15492,49.71
28650,81,-118,93,-5166,49.81
28700,82,-296,8,9109,50.22
28750,82,-258,-188,15937,49.72
28800,82,342,-61,9357,49.96
28850,82,403,-128,-4820,49.53
28900,82,-404,109,-15359,49.24
28950,82,442,32,-13049,49.36
29000,82,-54,-79,-156,49.71
29050,83,-404,43,12952,50.52
29100,83,231,-49,15218,50.33
29150,83,-343,-118,4943,49.43
29200,83,55,-186,-9366,49.54
29250,83,139,-47,-16049,49.55
29300,83,531,103,-9176,49.03
29350,83,-196,-36,5093,50.13
29400,84,-428,3,15288,49.46
29450,84,54,-100,13137,49.77
29500,84,-79,-108,-234,50.25
29550,84,81,-2,-12999,50.21
29600,84,34,46,-15449,48.98
29650,84,-66,-44,-4697,50.14
29700,84,-249,-109,9346,49.72
29750,85,7,-236,15919,49.84
29800,85,133,-101,9469,50.09
29850,85,-46,143,-4763,49.71
29900,85,-338,-133,-15314,49.35
29950,85,234,-169,-13081,49.6
30000,85,-121,76,-288,50.16
30050,85,189,2,13039,50.1
30100,86,-311,-62,15545,50.17
30150,86,167,75,5109,50.17
30200,86,381,-55,-9704,49.71
30250,86,-129,45,-16043,49.69
30300,86,162,-51,-9372,50.27
30350,86,-350,-58,4487,50.32
30400,86,185,-152,15075,49.75
30450,87,17,-137,13010,50.0
30500,87,163,41,245,49.84
30550,87,-139,-70,-13326,49.88
30600,87,127,-140,-15038,50.43
30650,87,-73,-178,-5012,49.96
30700,87,241,-201,9429,50.1
30750,87,-264,-26,16781,49.46
30800,88,518,-61,9238,50.09
30850,88,-237,-103,-4596,49.97
30900,88,82,-7,-15540,49.77
30950,88,259,-21,-12855,49.98
31000,88,-208,84,244,49.81
31050,88,547,-281,13139,49.83
31100,88,512,-95,15185,49.83
31150,89,104,-93,4654,51.0
31200,89,-135,-237,-9548,50.11
31250,89,-392,-46,-16352,49.95
31300,89,-405,-12,-9230,49.86
31350,89,-241,-62,4900,50.04
31400,89,254,-82,15192,50.26
31450,89,-52,-216,12992,50.6
31500,90,-68,-26,76,49.34
31550,90,-187,-25,-13017,49.64
31600,90,-206,56,-14894,49.82
31650,90,-252,70,-5053,49.49
31700,90,70,-163,9463,50.08
31750,90,-10,-53,16331,50.47
31800,90,-60,-104,9401,50.17
31850,91,218,-87,-5056,49.77
31900,91,-449,101,-15393,49.74
31950,91,-158,90,-12814,50.11
32000,91,-4,-59,290,49.97
32050,91,67,94,13003,49.7
32100,91,365,-326,15286,50.52
32150,91,266,-12,5010,49.72
32200,92,-239,135,-9528,49.89
32250,92,3,-108,-15792,50.36
32300,92,-38,-57,-9441,50.13
32350,92,-72,-193,4786,49.65
32400,92,-230,-237,15436,50.15
32450,92,6,-188,13036,50.06
32500,92,-64,-4,342,49.14
32550,93,-383,-99,-12905,49.88
32600,93,-212,-235,-15486,49.36
32650,93,-355,-68,-5103,49.72
32700,93,603,16,9269,49.9
32750,93,268,21,15989,50.36
32800,93,874,-96,9300,49.5
32850,93,249,-154,-5004,50.1
32900,94,59,-302,-15042,49.5
32950,94,213,-22,-13025,49.92
33000,94,87,-170,17,50.04
33050,94,-402,23,12818,49.58
33100,94,-180,-108,15392,50.34
33150,94,157,118,5184,49.73
33200,94,-378,-196,-9482,49.52
33250,95,-153,-208,-16123,49.84
33300,95,274,0,-9494,49.98
33350,95,-179,98,5040,49.38
33400,95,-121,-205,15169,49.89
33450,95,-518,-80,13413,50.41
33500,95,365,69,-118,49.86
33550,95,9,-79,-12575,49.81
33600,96,435,6,-15419,50.02
33650,96,-272,-28,-4998,49.76
33700,96,-155,1,9438,49.39
33750,96,-36,-125,16214,50.32
33800,96,146,-111,9434,49.78
33850,96,407,132,-4927,49.52
33900,96,422,-139,-15469,50.22
33950,97,-414,25,-12905,49.59
34000,97,-247,29,79,49.88
34050,97,283,-321,12918,50.11
34100,97,-238,-37,15250,50.05
34150,97,-35,-59,4814,50.1
34200,97,-139,76,-9193,50.06
34250,97,-515,-47,-15997,49.38
34300,98,14,-129,-9033,50.19
34350,98,29,36,4970,50.31
34400,98,15,-56,14925,50.34
34450,98,-20,-101,12666,49.47
34500,98,-105,-53,-27,49.61
34550,98,564,69,-12997,50.53
34600,98,-88,-146,-15418,50.29
34650,99,132,-24,-4975,50.07
34700,99,-291,-99,9367,49.97
34750,99,-18,31,16025,50.19
34800,99,-24,-142,9144,50.1
34850,99,152,111,-4884,49.88
34900,99,172,41,-15331,49.7
34950,99,199,-70,-12854,49.49
35000,100,128,-14,146,49.79
35050,100,-28,-82,12647,49.61
35100,100,190,-14,15120,50.08
35150,100,-102,-124,5151,49.6
35200,100,-271,7,-9442,50.0
35250,100,-526,-12,-16211,49.9
35300,100,413,-304,-9415,49.94
35350,101,-294,46,5235,50.41
35400,101,-30,127,15065,49.57
35450,101,265,-117,13002,50.04
35500,101,128,-133,314,50.5
35550,101,193,58,-12933,50.33
35600,101,447,-27,-15454,50.07
35650,101,93,19,-4839,50.03
35700,102,-165,-106,9404,49.98
35750,102,-101,-66,16258,49.78
35800,102,194,142,9546,49.86
35850,102,171,-223,-5008,49.34
35900,102,-238,42,-15297,50.59
35950,102,-297,-56,-12950,49.02
36000,102,123,153,158,50.05
36050,103,367,-61,12925,49.92
36100,103,135,-62,14487,50.06
36150,103,270,-259,4831,49.72
36200,103,110,135,-9209,51.16
36250,103,308,-218,-16240,50.01
36300,103,160,-200,-9200,50.14
36350,103,-222,-286,4938,49.98
36400,104,337,220,15175,49.42
36450,104,-126,53,12836,50.24
36500,104,71,64,78,50.14
36550,104,47,-4,-12992,50.79
36600,104,148,-128,-15714,49.71
36650,104,449,-140,-4926,50.42
36700,104,281,-78,9114,50.35
36750,105,204,-4,15990,50.27
36800,105,504,-111,9529,50.05
36850,105,362,178,-5034,50.46
36900,105,49,-124,-15707,49.58
36950,105,-160,88,-13060,49.68
37000,105,693,-132,231,50.34
37050,105,75,-60,13399,48.9
37100,106,207,-69,15006,49.17
37150,106,314,72,4775,49.03
37200,106,308,126,-8874,49.98
37250,106,-401,-215,-15896,50.43
37300,106,0,-17,-9389,49.6
37350,106,296,-54,5059,49.89
37400,106,261,-132,14752,49.78
37450,107,275,12,13168,49.53
37500,107,-68,-110,-218,50.27
37550,107,-73,29,-12822,50.58
37600,107,140,30,-15300,50.04
37650,107,106,-81,-5213,49.84
37700,107,-74,-52,9288,49.43
37750,107,134,-92,16021,50.12
37800,108,170,88,9522,50.11
37850,108,-23,25,-5282,49.78
37900,108,-516,-138,-15214,49.9
37950,108,-225,-18,-12840,50.11
38000,108,21,-33,-230,49.61
38050,108,503,39,13142,50.05
38100,108,-440,-44,15465,49.75
38150,109,248,136,5099,50.31
38200,109,-28,56,-9283,49.59
38250,109,464,8,-15908,49.94
38300,109,-208,48,-9516,49.81
38350,109,-542,-118,4915,50.42
38400,109,-587,-99,15089,50.06
38450,109,-120,-48,13061,49.07
38500,110,-644,-57,-181,50.41
38550,110,-110,-89,-13282,50.08
38600,110,799,-81,-15401,49.9
38650,110,-792,83,-5061,49.96
38700,110,-396,-190,9714,48.63
38750,110,95,-74,16504,49.85
38800,110,-111,16,9573,49.58
38850,111,95,-191,-4858,49.1
38900,111,-145,-25,-15308,49.48
38950,111,634,-139,-13174,49.31
39000,111,-83,65,-35,49.72
39050,111,-256,22,13168,49.66
39100,111,-26,0,15244,49.8
39150,111,611,-4,4770,49.41
39200,112,-18,-280,-9314,49.74
39250,112,104,-132,-16090,49.95
39300,112,-45,-97,-9215,49.8
39350,112,320,-72,4885,50.03
39400,112,-374,16,15139,50.03
39450,112,221,-201,13125,49.99
39500,112,155,-163,-401,49.94
39550,113,-161,-57,-12853,50.07
39600,113,193,-43,-15611,50.38
39650,113,1,55,-5295,50.27
